#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.74600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.74800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.75000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.75200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.75400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.75600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.75800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.76000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.76200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.76400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.76600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.76800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.77000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.77200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.77400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.77600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.77800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.78000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.78200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.78400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.78600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.78800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.79000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.79200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.79400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.79600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.79800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.80000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.80200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.80400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.80600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.80800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.81000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.81200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.81400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.81600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.81800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.82000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.82200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.82400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.82600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.82800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.83000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.83200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.83400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.83600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.83800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.84000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.84200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.84400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.84600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.84800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.85000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.85200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.85400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.85600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.85800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.86000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.86200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.86400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.86600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.86800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.87000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.87200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.87400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.87600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.87800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.88000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.88200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.88400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.88600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.88800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.89000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.89200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.89400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.89600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.89800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.90000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.90200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.90400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.90600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.90800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.91000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.91200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.91400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.91600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.91800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.92000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.92200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.92400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.92600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.92800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.93000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.93200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.93400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.93600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.93800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.94000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.94200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.94400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.94600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.94800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.95000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.95200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.95400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.95600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.95800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.96000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.96200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.96400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.96600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.96800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.97000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.97200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.97400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.97600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.97800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.98000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.98200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.98400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.98600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.98800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.99000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.99200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.99400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.99600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.99800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.10000000E+05       0.21253379E+01       0.10736119E+04       0.98891161E+03


