#      EC50_KKK-P                    [KKK-P]              EC50_KK-PP                    [KK-PP]               EC50_K-PP                    [K-PP]
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1.6812374036585308E-003   1.5457210339410797E-003   2.6539278131634821E-002   1.2623752708930709E-004   7.4183975172101221E-002   1.5780024930894797E-006
   3.3624748073170616E-003   3.0768984812414293E-003   5.3078556263269641E-002   5.2195381952248462E-004  0.14836795034420244        2.7580202103676263E-005
   5.0437122109755926E-003   4.5966592965932486E-003   7.9617834394904469E-002   1.2119816017479989E-003  0.22255192551630368        1.5460579153594908E-004
   6.7249496146341231E-003   6.1083690931234471E-003  0.10615711252653928        2.2201202655193434E-003  0.29673590068840489        5.4954184472238380E-004
   8.4061870182926546E-003   7.6155448277748462E-003  0.13269639065817410        3.5695138949399848E-003  0.37091987586050612        1.5364202713221153E-003
   1.0087424421951185E-002   9.1217567670882713E-003  0.15923566878980894        5.2842002942351087E-003  0.44510385103260736        3.7268441624836762E-003
   1.1768661825609716E-002   1.0630521178000986E-002  0.18577494692144375        7.3931659209785757E-003  0.51928782620470859        8.2838497212234484E-003
   1.3449899229268246E-002   1.2145171971216069E-002  0.21231422505307856        9.9404635715611023E-003  0.59347180137680977        1.7477245339575644E-002
   1.5131136632926779E-002   1.3668666708850570E-002  0.23885350318471341        1.3011469371608957E-002  0.66765577654891106        3.5882244734262277E-002
   1.6812374036585309E-002   1.5203195824180385E-002  0.26539278131634825        1.6804168424513259E-002  0.74183975172101235        7.2837288529613145E-002
   1.8493611440243841E-002   1.6749259305979574E-002  0.29193205944798312        2.1811694097698939E-002  0.81602372689311364       0.14560028608544073     
   2.0174848843902374E-002   1.8303858950286838E-002  0.31847133757961793        2.9064245621615092E-002  0.89020770206521493       0.27107447887869390     
   2.1856086247560906E-002   1.9860356118218438E-002  0.34501061571125280        3.9422995356722196E-002  0.96439167723731622       0.42496845732716376     
   2.3537323651219438E-002   2.1415621139585037E-002  0.37154989384288761        5.2101657069249727E-002   1.0385756524094176       0.55418885408136376     
   2.5218561054877971E-002   2.2974101200809421E-002  0.39808917197452248        6.6002590003265110E-002   1.1127596275815188       0.64667992282643449     
   2.6899798458536503E-002   2.4542440360167658E-002  0.42462845010615735        8.0748251286441308E-002   1.1869436027536202       0.71273571842456684     
